Original Sentence,Sentiment
可依盛德而明斋戒。,2
于是乃入上林斋戒。,1
日游弋猎，有行人入上林中，二世自射杀之。,1
赵高教其女婿咸阳令阎乐劾不知何人贼杀人移上林。,0
高乃谏二世曰：天子无故贼杀不辜人，此上帝之禁也，鬼神不享，天且降殃，当远避宫以禳之。,0
二世乃出居望夷之宫。,1
留三日，赵高诈诏卫士，令士皆素服持兵内乡，入告二世曰：山东群盗兵大至！,0
二世上观而见之，恐惧，高即因劫令自杀。,0
引玺而佩之，左右百官莫从；上殿，殿欲坏者三。,0
高自知天弗与，群臣弗许，乃召始皇弟，授之玺。,1
子婴即位，患之，乃称疾不听事，与宦者韩谈及其子谋杀高。,0
高上谒，请病，因召入，令韩谈刺杀之，夷其三族。,1
子婴立三月，沛公兵从武关入，至咸阳，群臣百官皆畔，不适。,0
子婴与妻子自系其颈以组，降轵道旁。,0
沛公因以属吏。,1
项王至而斩之。,0
遂以亡天下。,0
太史公曰：李斯以闾阎历诸侯，入事秦，因以瑕衅，以辅始皇，卒成帝业，斯为三公，可谓尊用矣。,2
斯知六艺之归，不务明政以补主上之缺，持爵禄之重，阿顺苟合，严威酷刑，听高邪说，废適立庶。,0
诸侯已畔，斯乃欲谏争，不亦末乎！,0
人皆以斯极忠而被五刑死，察其本，乃与俗议之异。,0
不然，斯之功且与周、召列矣。,0
陈胜者，阳城人也，字涉。,1
吴广者，阳夏人也，字叔。,1
陈涉少时，尝与人佣耕，辍耕之垄上，怅恨久之，曰：苟富贵，无相忘。,1
庸者笑而应曰：若为庸耕，何富贵也？,0
陈涉太息曰：嗟乎，燕雀安知鸿鹄之志哉！,2
二世元年七月，发闾左，適戍渔阳，九百人屯大泽乡。,1
陈胜、吴广皆次当行，为屯长。,1
会天大雨，道不通，度已失期。,0
失期，法皆斩。,0
陈胜、吴广乃谋曰：今亡亦死，举大计亦死，等死，死国可乎！,0
陈胜曰：天下苦秦久矣。,0
吾闻二世少子也，不当立，当立者乃公子扶苏。,0
扶苏以数谏故，上使外将兵。,1
今或闻无罪，二世杀之。,0
百姓多闻其贤，未知其死也。,0
项燕为楚将，数有功，爱士卒，楚人怜之。,2
或以为死，或以为亡。,0
今诚以吾众诈自称公子扶苏、项燕，为天下唱，宜多应者。,1
吴广以为然。,1
乃行卜。,1
卜者知其指意，曰：足下事皆成，有功。,2
然足下卜之鬼乎！,0
陈胜、吴广喜，念鬼，曰：此教我先威众耳。,2
乃丹书帛曰陈胜王，置人所罾鱼腹中。,1
卒买鱼烹食，得鱼腹中书，固以怪之矣。,0
又间令吴广之次所旁丛祠中，夜篝火，狐鸣呼曰大楚兴，陈胜王。,1
卒皆夜惊恐。,0
旦日，卒中往往语，皆指目陈胜。,1
吴广素爱人，士卒多为用者。,2
将尉醉，广故数言欲亡，忿恚尉，令辱之，以激怒其众。,0
尉果笞广。,0
尉剑挺，广起，夺而杀尉。,1
陈胜佐之，并杀两尉。,1
召令徒属曰：公等遇雨，皆已失期，失期当斩。,0
藉弟令毋斩，而戍死者固十六七。,0
且壮士不死即已，死即举大名耳，王侯将相宁有种乎！,0
徒属皆曰：敬受命。,2
乃诈称公子扶苏、项燕，从民欲也。,1
袒右，称大楚。,1
为坛而盟，祭以尉首。,1
陈胜自立为将军，吴广为都尉。,1
攻大泽乡，收而攻蕲。,1
蕲下，乃令符离人葛婴将兵徇蕲以东。,1
攻铚、酂、苦、柘、谯皆下之。,1
行收兵。,1
比至陈，车六七百乘，骑千余，卒数万人。,1
攻陈，陈守令皆不在，独守丞与战谯门中。,1
弗胜，守丞死，乃入据陈。,1
数日，号令召三老、豪杰与皆来会计事。,1
三老、豪杰皆曰：将军身被坚执锐，伐无道，诛暴秦，复立楚国之社稷，功宜为王。,2
陈涉乃立为王，号为张楚。,1
当此时，诸郡县苦秦吏者，皆刑其长吏，杀之以应陈涉。,1
乃以吴叔为假王，监诸将以西击荥阳。,1
令陈人武臣、张耳、陈余徇赵地，令汝阴人邓宗徇九江郡。,1
当此时，楚兵数千人为聚者，不可胜数。,1
葛婴至东城，立襄彊为楚王。,1
婴后闻陈王已立，因杀襄彊，还报。,0
至陈，陈王诛杀葛婴。,0
陈王令魏人周市北徇魏地。,1
吴广围荥阳。,1
李由为三川守，守荥阳，吴叔弗能下。,0
陈王征国之豪杰与计，以上蔡人房君蔡赐为上柱国。,1
周文，陈之贤人也，尝为项燕军视日，事春申君，自言习兵，陈王与之将军印，西击秦。,1
行收兵至关，车千乘，卒数十万，至戏，军焉。,2
秦令少府章邯免郦山徒、人奴产子生，悉发以击楚大军，尽败之。,1
周文败，走出关，止次曹阳二三月。,0
章邯追败之，复走次渑池十余日。,0
章邯击，大破之。,1
周文自刭，军遂不战。,1
武臣到邯郸，自立为赵王，陈余为大将军，张耳、召骚为左右丞相。,1
陈王怒，捕系武臣等家室，欲诛之。,0
柱国曰：秦未亡而诛赵王将相家属，此生一秦也。,0
不如因而立之。,1
陈王乃遣使者贺赵，而徙系武臣等家属宫中，而封耳子张敖为成都君，趣赵兵亟入关。,2
赵王将相相与谋曰：王王赵，非楚意也。,1
楚已诛秦，必加兵于赵。,1
计莫如毋西兵，使使北徇燕地以自广也。,1
赵南据大河，北有燕、代，楚虽胜秦，不敢制赵。,1
若楚不胜秦，必重赵。,1
赵乘秦之弊，可以得志于天下。,1
赵王以为然，因不西兵，而遣故上谷卒史韩广将兵北徇燕地。,1
燕故贵人豪杰谓韩广曰：楚已立王，赵又已立王。,1
燕虽小，亦万乘之国也，愿将军立为燕王。,1
韩广曰：广母在赵，不可。,0
燕人曰：赵方西忧秦，南忧楚，其力不能禁我。,0
且以楚之强，不敢害赵王将相之家，赵独安敢害将军之家！,0
韩广以为然，乃自立为燕王。,1
居数月，赵奉燕王母及家属归之燕。,1
当此之时，诸将之徇地者，不可胜数。,1
周市北徇地至狄，狄人田儋杀狄令，自立为齐王，以齐反击周市。,1
市军散，还至魏地，欲立魏后故宁陵君咎为魏王。,1
时咎在陈王所，不得之魏。,1
魏地已定，欲相与立周市为魏王，周市不肯。,0
使者五反，陈王乃立宁陵君咎为魏王，遣之国。,1
周市卒为相。,1
将军田臧等相与谋曰：周章军已破矣，秦兵旦暮至，我围荥阳城弗能下，秦军至，必大败。,0
不如少遗兵，足以守荥阳，悉精兵迎秦军。,1
今假王骄，不知兵权，不可与计，非诛之，事恐败。,0
因相与矫王令以诛吴叔，献其首于陈王。,1
陈王使使赐田臧楚令尹印，使为上将。,1
田臧乃使诸将李归等守荥阳城，自以精兵西迎秦军于敖仓。,1
与战，田臧死，军破。,0
章邯进兵击李归等荥阳下，破之，李归等死。,0
阳城人邓说将兵居郯，章邯别将击破之，邓说军散走陈。,0
铚人伍徐将兵居许，章邯击破之，伍徐军皆散走陈。,0
陈王诛邓说。,0
陈王初立时，陵人秦嘉、铚人董緤、符离人朱鸡石、取虑人郑布、徐人丁疾等皆特起，将兵围东海守庆于郯。,1
陈王闻，乃使武平君畔为将军，监郯下军。,1
秦嘉不受命，嘉自立为大司马，恶属武平君。,0
告军吏曰：武平君年少，不知兵事，勿听！,0
因矫以王命杀武平君畔。,0
章邯已破伍徐，击陈，柱国房君死。,0
章邯又进兵击陈西张贺军。,1
陈王出监战，军破，张贺死。,0
腊月，陈王之汝阴，还至下城父，其御庄贾杀以降秦。,0
陈胜葬砀，谥曰隐王。,2
陈王故涓人将军吕臣为仓头军，起新阳，攻陈下之，杀庄贾，复以陈为楚。,1
初，陈王至陈，令铚人宋留将兵定南阳，入武关。,1
留已徇南阳，闻陈王死，南阳复为秦。,1
宋留不能入武关，乃东至新蔡，遇秦军，宋留以军降秦。,0
秦传留至咸阳，车裂留以徇。,0
秦嘉等闻陈王军破出走，乃立景驹为楚王，引兵之方与，欲击秦军定陶下。,1
使公孙庆使齐王，欲与并力俱进。,1
齐王曰：闻陈王战败，不知其死生，楚安得不请而立王！,1
公孙庆曰：齐不请楚而立王，楚何故请齐而立王！,1
且楚首事，当令于天下。,1
田儋诛杀公孙庆。,0
秦左右校复攻陈，下之。,1
吕将军走，收兵复聚。,1
鄱盗当阳君黥布之兵相收，复击秦左右校，破之青波，复以陈为楚。,1
会项梁立怀王孙心为楚王。,1
陈胜王凡六月。,1
已为王，王陈。,1
其故人尝与庸耕者闻之，之陈，扣宫门曰：吾欲见涉。,1
宫门令欲缚之。,0
自辩数，乃置，不肯为通。,0
陈王出，遮道而呼涉。,1
陈王闻之，乃召见，载与俱归。,2
入宫，见殿屋帷帐，客曰：夥颐！,2
涉之为王沈沈者！,2
楚人谓多为夥，故天下传之，夥涉为王，由陈涉始。,1
客出入愈益发舒，言陈王故情。,0
或说陈王曰：客愚无知，颛妄言，轻威。,0
陈王斩之。,0
诸陈王故人皆自引去，由是无亲陈王者。,0
陈王以朱房为中正，胡武为司过，主司群臣。,1
诸将徇地，至，令之不是者，系而罪之，以苛察为忠。,0
其所不善者，弗下吏，辄自治之。,0
陈王信用之。,2
诸将以其故不亲附，此其所以败也。,1
陈胜虽已死，其所置遣侯王将相竟亡秦，由涉首事也。,1
高祖时为陈涉置守冢三十家砀，至今血食。,1
褚先生曰：地形险阻，所以为固也；兵革刑法，所以为治也。,1
犹未足恃也。,1
夫先王以仁义为本，而以固塞文法为枝叶，岂不然哉！,1
吾闻贾生之称曰：秦孝公据殽函之固，拥雍州之地，君臣固守，以窥周室。,1
有席卷天下，包举宇内，囊括四海之意，并吞八荒之心。,2
当是时也，商君佐之，内立法度，务耕织，修守战之备；外连衡而斗诸侯。,1
于是秦人拱手而取西河之外。,1
孝公既没，惠文王、武王、昭王蒙故业，因遗策，南取汉中，西举巴蜀，东割膏腴之地，收要害之郡。,1
诸侯恐惧，会盟而谋弱秦。,0
不爱珍器重宝肥饶之地，以致天下之士。,2
合从缔交，相与为一。,2
当此之时，齐有孟尝，赵有平原，楚有春申，魏有信陵：此四君者，皆明知而忠信，宽厚而爱人，尊贤而重士。,2
约从连衡，兼韩、魏、燕、赵、宋、卫、中山之众。,1
于是六国之士有宁越、徐尚、苏秦、杜赫之属为之谋，齐明、周最、陈轸、邵滑、楼缓、翟景、苏厉、乐毅之徒通其意，吴起、孙膑、带他、兒良、王廖、田忌、廉颇、赵奢之伦制其兵。,1
尝以什倍之地，百万之师，仰关而攻秦。,1
秦人开关而延敌，九国之师遁逃而不敢进。,0
秦无亡矢遗镞之费，而天下固已困矣。,0
于是从散约败，争割地而赂秦。,0
秦有余力而制其弊，追亡逐北，伏尸百万，流血漂橹，因利乘便，宰割天下，分裂山河，强国请服，弱国入朝。,0
施及孝文王、庄襄王，享国之日浅，国家无事。,1
及至始皇，奋六世之余烈，振长策而御宇内，吞二周而亡诸侯，履至尊而制六合，执敲朴以鞭笞天下，威振四海。,2
南取百越之地，以为桂林、象郡，百越之君俯首系颈，委命下吏。,1
乃使蒙恬北筑长城而守藩篱，却匈奴七百余里，胡人不敢南下而牧马，士亦不敢贯弓而报怨。,0
于是废先王之道，燔百家之言，以愚黔首。,0
堕名城，杀豪俊，收天下之兵聚之咸阳，销锋鍉，铸以为金人十二，以弱天下之民。,1
然后践华为城，因河为池，据亿丈之城，临不测之溪以为固。,1
良将劲弩，守要害之处，信臣精卒，陈利兵而谁何。,1
天下已定，始皇之心，自以为关中之固，金城千里，子孙帝王万世之业也。,1
始皇既没，余威振于殊俗。,1
然而陈涉瓮牖绳枢之子，甿隶之人，而迁徙之徒也。,0
材能不及中人，非有仲尼、墨翟之贤，陶朱、猗顿之富也。,0
蹑足行伍之间，俯仰仟佰之中，率罢散之卒，将数百之众，转而攻秦。,1
斩木为兵，揭竿为旗，天下云会响应，赢粮而景从，山东豪俊遂并起而亡秦族矣。,1
且天下非小弱也；雍州之地，殽函之固自若也。,1
陈涉之位，非尊于齐、楚、燕、赵、韩、魏、宋、卫、中山之君也；鉏耰棘矜，非铦于句戟长铩也；適戍之众，非俦于九国之师也；深谋远虑，行军用兵之道，非及乡时之士也。,0
然而成败异变，功业相反也。,0
尝试使山东之国与陈涉度长絜大，比权量力，则不可同年而语矣。,0
然而秦以区区之地，致万乘之权，抑八州而朝同列，百有余年矣。,1
然后以六合为家，殽函为宫。,1
一夫作难而七庙堕，身死人手，为天下笑者，何也？,0
仁义不施，而攻守之势异也。,0
屈原者，名平，楚之同姓也。为楚怀王左徒。,1
博闻强志，明于治乱，娴于辞令。,1
入则与王图议国事，以出号令；出则接遇宾客，应对诸侯。,1
王甚任之。,2
上官大夫与之同列，争宠而心害其能。,0
怀王使屈原造为宪令，屈平属草稿未定。,1
上官大夫见而欲夺之，屈平不与。,0
因谗之曰：王使屈平为令，众莫不知。,0
每一令出，平伐其功，以为‘非我莫能为’也。,0
王怒而疏屈平。,0
屈平疾王听之不聪也，谗谄之蔽明也，邪曲之害公也，方正之不容也，故忧愁幽思而作《离骚》。,0
离骚者，犹离忧也。,0
夫天者，人之始也；父母者，人之本也。,1
人穷则反本，故劳苦倦极，未尝不呼天也；疾痛惨怛，未尝不呼父母也。,1
屈平正道直行，竭忠尽智以事其君，谗人间之，可谓穷矣。,0
信而见疑，忠而被谤，能无怨乎？,0
屈平之作《离骚》，盖自怨生也。,0
《国风》好色而不淫，《小雅》怨诽而不乱。,1
若《离骚》者，可谓兼之矣。,1
上称帝喾，下道齐桓，中述汤武，以刺世事。,1
明道德之广崇，治乱之条贯，靡不毕见。,1
其文约，其辞微，其志絜，其行廉，其称文小而其指极大，举类迩而见义远。,2
其志絜，故其称物芳。其行廉，故死而不容自疏。,1
濯淖污泥之中，蝉蜕于浊秽，以浮游尘埃之外，不获世之滋垢，皭然泥而不滓者也。,2
推此志也，虽与日月争光可也。,2
屈平既绌，其后秦欲伐齐，齐与楚从亲，惠王患之，乃令张仪详去秦，厚币委质事楚，曰：秦甚憎齐，齐与楚从亲，楚诚能绝齐，秦愿献商、於之地六百里。,1
楚怀王贪而信张仪，遂绝齐，使使如秦受地。,0
张仪诈之曰：仪与王约六里，不闻六百里。,0
楚使怒去，归告怀王。,0
怀王怒，大兴师伐秦。,0
秦发兵击之，大破楚师于丹、淅，斩首八万，虏楚将屈匄，遂取楚之汉中地。,1
怀王乃悉发国中兵以深入击秦，战于蓝田。,1
魏闻之，袭楚至邓。,1
楚兵惧，自秦归。,0
而齐竟怒不救楚，楚大困。,0
明年，秦割汉中地与楚以和。,1
楚王曰：不愿得地，愿得张仪而甘心焉。,1
张仪闻，乃曰：以一仪而当汉中地，臣请往如楚。,1
如楚，又因厚币用事者臣靳尚，而设诡辩于怀王之宠姬郑袖。,0
怀王竟听郑袖，复释去张仪。,1
是时屈平既疏，不复在位，使于齐，顾反，谏怀王曰：何不杀张仪？,0
怀王悔，追张仪不及。,0
其后诸侯共击楚，大破之，杀其将唐眜。,1
时秦昭王与楚婚，欲与怀王会。,1
怀王欲行，屈平曰：秦虎狼之国，不可信，不如毋行。,0
怀王稚子子兰劝王行：奈何绝秦欢！,1
怀王卒行。,1
入武关，秦伏兵绝其后，因留怀王，以求割地。,0
怀王怒，不听。,0
亡走赵，赵不内。,0
复之秦，竟死于秦而归葬。,0
长子顷襄王立，以其弟子兰为令尹。,1
楚人既咎子兰以劝怀王入秦而不反也。,0
屈平既嫉之，虽放流，眷顾楚国，系心怀王，不忘欲反，冀幸君之一悟，俗之一改也。,0
其存君兴国而欲反覆之，一篇之中三致志焉。,0
然终无可奈何，故不可以反，卒以此见怀王之终不悟也。,0
人君无愚智贤不肖，莫不欲求忠以自为，举贤以自佐，然亡国破家相随属，而圣君治国累世而不见者，其所谓忠者不忠，而所谓贤者不贤也。,0
怀王以不知忠臣之分，故内惑于郑袖，外欺于张仪，疏屈平而信上官大夫、令尹子兰。,1
兵挫地削，亡其六郡，身客死于秦，为天下笑。,0
此不知人之祸也。,0
《易》曰：井泄不食，为我心恻，可以汲。,0
王明，并受其福。,1
王之不明，岂足福哉！,0
令尹子兰闻之大怒，卒使上官大夫短屈原于顷襄王，顷襄王怒而迁之。,0
屈原至于江滨，被发行吟泽畔。,1
颜色憔悴，形容枯槁。,0
渔父见而问之曰：子非三闾大夫欤？,1
何故而至此？,1
屈原曰：举世混浊而我独清，众人皆醉而我独醒，是以见放。,0
渔父曰：夫圣人者，不凝滞于物而能与世推移。,1
举世混浊，何不随其流而扬其波？,0
众人皆醉，何不随其糟而啜其醨？,0
何故怀瑾握瑜而自令见放为？,0
屈原曰：吾闻之，新沐者必弹冠，新浴者必振衣，人又谁能以身之察察，受物之汶汶者乎！,0
宁赴常流而葬乎江鱼腹中耳，又安能以晧晧之白而蒙世俗之温蠖乎！,0
陶陶孟夏兮，草木莽莽。,2
伤怀永哀兮，汩徂南土。,0
眴兮窈窈，孔静幽墨。,0
冤结纡轸兮，离愍之长鞠；抚情效志兮，俯诎以自抑。,0
邧方以为圜兮，常度未替；易初本由兮，君子所鄙。,0
章画职墨兮，前度未改；内直质重兮，大人所盛。,2
巧匠不断兮，孰察其揆正？,0
玄文幽处兮，矇谓之不章；离娄微睇兮，瞽以为无明。,0
变白而为黑兮，倒上以为下。,0
凤皇在笯兮，鸡雉翔舞。,0
同糅玉石兮，一概而相量。,0
夫党人之鄙妒兮，羌不知吾所臧。,0
任重载盛兮，陷滞而不济；怀瑾握瑜兮，穷不得余所示。,0
邑犬群吠兮，吠所怪也；诽骏疑桀兮，固庸态也。,0
文质疏内兮，众不知吾之异采；,0
材朴委积兮，莫知余之所有。,0
重仁袭义兮，谨厚以为丰；,2
重华不可牾兮，孰知余之从容！,0
古固有不并兮，岂知其故也？,0
汤禹久远兮，邈不可慕也。,0
惩违改忿兮，抑心而自强；,0
离湣而不迁兮，愿志之有象。,0
进路北次兮，日昧昧其将暮；,1
含忧虞哀兮，限之以大故。,0
乱曰：浩浩沅、湘兮，分流汩兮。,0
修路幽拂兮，道远忽兮。,0
曾唫恒悲兮，永叹慨兮。,0
世既莫吾知兮，人心不可谓兮。,0
怀情抱质兮，独无匹兮。,0
伯乐既殁兮，骥将焉程兮？,0
人生禀命兮，各有所错兮。,1
定心广志，余何畏惧兮？,0
曾伤爰哀，永叹喟兮,0
世溷不吾知，心不可谓兮。,0
知死不可让兮，愿勿爱兮。,0
明以告君子兮，吾将以为类兮。,0
于是怀石遂自沉汨罗以死。,0
屈原既死之后，楚有宋玉、唐勒、景差之徒者，皆好辞而以赋见称；,1
然皆祖屈原之从容辞令，终莫敢直谏。,0
其后楚日以削，数十年竟为秦所灭。,0
自屈原沉汨罗后百有余年，汉有贾生，为长沙王太傅，过湘水，投书以吊屈原。,0
贾生名谊，雒阳人也。,1
年十八，以能诵诗属书闻于郡中。,2
吴廷尉为河南守，闻其秀才，召置门下，甚幸爱。,2
孝文皇帝初立，闻河南守吴公治平为天下第一，故与李斯同邑而常学事焉，乃征为廷尉。,1
廷尉乃言贾生年少，颇通诸子百家之书。,2
文帝召以为博士。,1
是时贾生年二十余，最为少。,1
每诏令议下，诸老先生不能言，贾生尽为之对，人人各如其意所欲出。,2
诸生于是乃以为能不及也。,1
孝文帝说之，超迁，一岁中至太中大夫。,2
贾生以为汉兴至孝文二十余年，天下和洽，而固当改正朔，易服色，法制度，定官名，兴礼乐，乃悉草具其事仪法，色尚黄，数用五，为官名，悉更秦之法。,1
孝文帝初即位，谦让未遑也。,1
诸律令所更定，及列侯悉就国，其说皆自贾生发之。,1
于是天子议以为贾生任公卿之位。,1
绛、灌、东阳侯、冯敬之属尽害之，乃短贾生曰：雒阳之人，年少初学，专欲擅权，纷乱诸事。,0
于是天子后亦疏之，不用其议，乃以贾生为长沙王太傅。,0
贾生既辞往行，闻长沙卑湿，自以寿不得长，又以適去，意不自得。,0
及渡湘水，为赋以吊屈原。,0
共承嘉惠兮，俟罪长沙。,2
侧闻屈原兮，自沉汨罗。,1
造托湘流兮，敬吊先生。,0
遭世罔极兮，乃陨厥身。,0
呜呼哀哉，逢时不祥！,0
鸾凤伏窜兮，鸱枭翱翔。,1
阘茸尊显兮，谗谀得志；,0
贤圣逆曳兮，方正倒植。,0
世谓伯夷贪兮，谓盗跖廉；,0
莫邪为顿兮，铅刀为铦。,0
于嗟嚜嚜兮，生之无故！,0
斡弃周鼎兮宝康瓠,0
腾驾罢牛兮骖蹇驴,0
骥垂两耳兮服盐车。,0
章甫荐屦兮，渐不可久；,0
嗟苦先生兮，独离此咎！,0
讯曰：已矣。,0
国其莫我知，独堙郁兮其谁语？,0
凤漂漂其高遰兮，夫固自缩而远去。,0
袭九渊之神龙兮，沕深潜以自珍。,0
弥融爚以隐处兮，夫岂从虾与蛭螾？,0
所贵圣人之神德兮，远浊世而自藏。,0
使骐骥可得系羁兮，岂云异夫犬羊！,0
般纷纷其离此尤兮，亦夫子之辜也！,0
瞝九州而相君兮，何必怀此都也？,0
凤皇翔于千仞之上兮，览惪辉而下之,0
见细德之险征兮，摇增翮逝而去之。,0
彼寻常之污渎兮，岂能容吞舟之鱼！,0
横江湖之鳣鱏兮，固将制于蚁蝼。,0
贾生为长沙王太傅三年，有鸮飞入贾生舍，止于坐隅。,0
楚人命鸮曰服。,1
贾生既以適居长沙，长沙卑湿，自以为寿不得长，伤悼之，乃为赋以自广。,0
单阏之岁兮，四月孟夏,1
庚子日施兮，服集予舍,1
止于坐隅，貌甚闲暇。,1
异物来集兮，私怪其故，发书占之兮，策言其度。,0
曰：野鸟入处兮，主人将去。,0
请问于服兮：予去何之？,0
吉乎告我，凶言其菑。,0
淹数之度兮，语予其期。,0
服乃叹息，举首奋翼,0
口不能言，请对以意。,0
万物变化兮，固无休息。,0
斡流而迁兮，或推而还。,0
形气转续兮，变化而嬗。,0
沕穆无穷兮，胡可胜言！,0
祸兮福所倚，福兮祸所伏；,0
忧喜聚门兮，吉凶同域。,0
彼吴强大兮，夫差以败；,0
越栖会稽兮，句践霸世。,0
斯游遂成兮，卒被五刑；,0
傅说胥靡兮，乃相武丁。,0
夫祸之与福兮，何异纠纆？,0
命不可说兮，孰知其极？,0
水激则旱兮，矢激则远。,0
万物回薄兮，振荡相转。,0
云蒸雨降兮，错缪相纷。,0
大专槃物兮，块轧无垠。,0
天不可与虑兮，道不可与谋。,0
迟数有命兮，恶识其时？,0
且夫天地为炉兮，造化为工；,0
阴阳为炭兮，万物为铜。,0
合散消息兮，安有常则；,0
千变万化兮，未始有极。,0
忽然为人兮，何足控抟；,0
化为异物兮，又何足患！,2
小知自私兮，贱彼贵我；,0
通人大观兮，物无不可。,2
贪夫徇财兮，烈士徇名；,0
夸者死权兮，品庶冯生。,0
怵迫之徒兮，或趋西东；,0
大人不曲兮，亿变齐同。,2
拘士系俗兮，攌如囚拘；,0
至人遗物兮，独与道俱。,2
众人或或兮，好恶积意；,0
真人淡漠兮，独与道息。,2
释知遗形兮，超然自丧；,0
寥廓忽荒兮，与道翱翔。,0
乘流则逝兮，得坻则止；,1
纵躯委命兮，不私与己。,2
其生若浮兮，其死若休；,0
澹乎若深渊之静，泛乎若不系之舟。,1
不以生故自宝兮，养空而浮；,0
德人无累兮，知命不忧。,0
细故慸蓟兮，何足以疑！,0
后岁余，贾生征见。,1
孝文帝方受釐，坐宣室。,1
上因感鬼神事，而问鬼神之本。,1
贾生因具道所以然之状。,1
至夜半，文帝前席。,1
既罢，曰：吾久不见贾生，自以为过之，今不及也。,0
居顷之，拜贾生为梁怀王太傅。,1
梁怀王，文帝之少子，爱，而好书，故令贾生傅之。,1
文帝复封淮南厉王子四人皆为列侯。,1
贾生谏，以为患之兴自此起矣。,0
贾生数上疏，言诸侯或连数郡，非古之制，可稍削之。,1
文帝不听。,1
居数年，怀王骑，堕马而死，无后。,0
贾生自伤为傅无状，哭泣岁余，亦死。,0
贾生之死时年三十三矣。,1
及孝文崩，孝武皇帝立，举贾生之孙二人至郡守,1
而贾嘉最好学，世其家，与余通书。,2
至孝昭时，列为九卿。,2
太史公曰：余读《离骚》、《天问》、《招魂》、《哀郢》，悲其志。,0
適长沙，观屈原所自沉渊，未尝不垂涕，想见其为人。,0
及见贾生吊之，又怪屈原以彼其材，游诸侯，何国不容，而自令若是。,0
读《服鸟赋》，同死生，轻去就，又爽然自失矣。,0
商君者，卫之诸庶孽公子也，名鞅，姓公孙氏，其祖本姬姓也。,1
鞅少好刑名之学，事魏相公叔座为中庶子。,1
公叔座知其贤，未及进。,1
会座病，魏惠王亲往问病，曰：公叔病有如不可讳，将奈社稷何？,0
公叔曰：座之中庶子公孙鞅，年虽少，有奇才，愿王举国而听之。,1
王嘿然。,0
王且去，座屏人言曰：王即不听用鞅，必杀之，无令出境。,0
王许诺而去。,1
公叔座召鞅谢曰：今者王问可以为相者，我言若，王色不许我。,0
我方先君后臣，因谓王即弗用鞅，当杀之。,0
王许我。,2
汝可疾去矣，且见禽。,0
鞅曰：彼王不能用君之言任臣，又安能用君之言杀臣乎？,0
卒不去。,1
惠王既去，而谓左右曰：公叔病甚，悲乎！,0
欲令寡人以国听公孙鞅也，岂不悖哉！,0
公叔既死，公孙鞅闻秦孝公下令国中求贤者，将修缪公之业，东复侵地，乃遂西入秦，因孝公宠臣景监以求见孝公。,1
孝公既见卫鞅，语事良久，孝公时时睡，弗听。,0
罢而孝公怒景监曰：子之客妄人耳，安足用邪！,0
景监以让卫鞅。,0
卫鞅曰：吾说公以帝道，其志不开悟矣。,0
后五日，复求见鞅。,1
鞅复见孝公，益愈，然而未中旨。,0
罢而孝公复让景监，景监亦让鞅。,0
鞅曰：吾说公以王道而未入也。,0
请复见鞅。,1
鞅复见孝公，孝公善之而未用也。,0
罢而去。,1
孝公谓景监曰：汝客善，可与语矣。,1
鞅曰：吾说公以霸道，其意欲用之矣。,1
诚复见我，我知之矣。,0
卫鞅复见孝公。,1
公与语，不自知厀之前于席也。,1
语数日不厌。,2
景监曰：子何以中吾君？,1
吾君之驩甚也。,2
鞅曰：吾说君以帝王之道比三代，而君曰：‘久远，吾不能待。,0
且贤君者，各及其身显名天下，安能邑邑待数十百年以成帝王乎？,1
’故吾以彊国之术说君，君大说之耳。,2
然亦难以比德于殷、周矣。,0
孝公既用卫鞅，鞅欲变法，恐天下议己。,0
卫鞅曰：疑行无名，疑事无功。,0
且夫有高人之行者，固见非于世；有独知之虑者，必见敖于民。,0
愚者闇于成事，知者见于未萌。,1
民不可与虑始而可与乐成。,1
论至德者不和于俗，成大功者不谋于众。,1
是以圣人苟可以强国，不法其故；苟可以利民，不循其礼。,1
孝公曰：善。,2
甘龙曰：不然。,0
圣人不易民而教，知者不变法而治。,2
因民而教，不劳而成功；缘法而治者，吏习而民安之。,1
卫鞅曰：龙之所言，世俗之言也。,1
常人安于故俗，学者溺于所闻。,0
以此两者居官守法可也，非所与论于法之外也。,1
三代不同礼而王，五伯不同法而霸。,1
智者作法，愚者制焉；贤者更礼，不肖者拘焉。,1
杜挚曰：利不百，不变法；功不十，不易器。,0
法古无过，循礼无邪。,1
卫鞅曰：治世不一道，便国不法古。,1
故汤、武不循古而王，夏、殷不易礼而亡。,0
反古者不可非，而循礼者不足多。,0
孝公曰：善。,2
以卫鞅为左庶长，卒定变法之令。,1
令民为什伍，而相牧司连坐。,0
不告奸者腰斩，告奸者与斩敌首同赏，匿奸者与降敌同罚。,0
民有二男以上不分异者，倍其赋。,0
有军功者，各以率受上爵；为私斗者，各以轻重被刑大小。,0
僇力本业，耕织致粟帛多者复其身。,2
事末利及怠而贫者，举以为收孥。,0
宗室非有军功论，不得为属籍。,1
明尊卑爵秩等级，各以差次名田宅，臣妾衣服以家次。,1
有功者显荣，无功者虽富无所芬华。,1
令既具，未布，恐民之不信，已乃立三丈之木于国都市南门，募民有能徙置北门者予十金。,1
民怪之，莫敢徙。,0
复曰能徙者予五十金。,1
有一人徙之，辄予五十金，以明不欺。,0
卒下令。,1
令行于民朞年，秦民之国都言初令之不便者以千数。,0
于是太子犯法。,0
